season,league,position,team,points,games_played,wins,draws,losses,goals_scored,goals_conceded,goal_diff,xg,xga,xg_diff
2017/18,Ligue 1,17,Lille,38,38,10,8,20,41,67,-26,36.13,59.37,-23.24
2017/18,Ligue 1,18,Toulouse,37,38,9,10,19,38,54,-16,43.29,54.45,-11.16
2017/18,Ligue 1,19,Troyes,33,38,9,6,23,32,59,-27,37.13,52.47,-15.34
2017/18,Ligue 1,20,Metz,26,38,6,8,24,34,76,-42,36.4,71.93,-35.53
2019/20,Ligue 1,1,Paris Saint Germain,68,27,22,2,3,75,24,51,76.42,22.43,53.98
2019/20,Ligue 1,2,Marseille,56,28,16,8,4,41,29,12,36.42,32.05,4.38
2019/20,Ligue 1,3,Rennes,50,28,15,5,8,38,24,14,34.37,28.15,6.22
2019/20,Ligue 1,4,Lille,49,28,15,4,9,35,27,8,40.81,30.17,10.64
2019/20,Ligue 1,5,Reims,41,28,10,11,7,26,21,5,28.93,26.47,2.46
2019/20,Ligue 1,6,Nice,41,28,11,8,9,41,38,3,36.45,42.69,-6.24
2019/20,Ligue 1,7,Lyon,40,28,11,7,10,42,27,15,36.24,24.73,11.52
2019/20,Ligue 1,8,Montpellier,40,28,11,7,10,35,34,1,34.95,32.26,2.69
2019/20,Ligue 1,9,Monaco,40,28,11,7,10,44,44,0,48.55,41.06,7.49
2019/20,Ligue 1,10,Angers,39,28,11,6,11,28,33,-5,27.1,28.15,-1.04
2019/20,Ligue 1,11,Strasbourg,38,27,11,5,11,32,32,0,34.56,33.46,1.09
2019/20,Ligue 1,12,Bordeaux,37,28,9,10,9,40,34,6,30.47,35.2,-4.73
2019/20,Ligue 1,13,Nantes,37,28,11,4,13,28,31,-3,27.81,30.26,-2.45
2019/20,Ligue 1,14,Brest,34,28,8,10,10,34,37,-3,30.05,44.11,-14.06
2019/20,Ligue 1,15,Metz,34,28,8,10,10,27,35,-8,24.65,36.54,-11.89
2019/20,Ligue 1,16,Dijon,30,28,7,9,12,27,37,-10,27.38,39.3,-11.92
2019/20,Ligue 1,17,Saint-Etienne,30,28,8,6,14,29,45,-16,29.65,37.73,-8.07
2019/20,Ligue 1,18,Nimes,27,28,7,6,15,29,44,-15,30.19,40.47,-10.28
2019/20,Ligue 1,19,Amiens,23,28,4,11,13,31,50,-19,25.62,38.43,-12.81
2019/20,Ligue 1,20,Toulouse,13,28,3,4,21,22,58,-36,31.29,48.28,-16.98
2020/21,Ligue 1,1,Lille,83,38,24,11,3,64,23,41,48.07,25.68,22.39
2020/21,Ligue 1,2,Paris Saint Germain,82,38,26,4,8,86,28,58,83.89,36.85,47.04
2020/21,Ligue 1,3,Monaco,78,38,24,6,8,76,42,34,70.35,33.95,36.4
2020/21,Ligue 1,4,Lyon,76,38,22,10,6,81,43,38,82.37,38.42,43.95
2020/21,Ligue 1,5,Marseille,60,38,16,12,10,54,47,7,49.29,46.49,2.8
2020/21,Ligue 1,6,Rennes,58,38,16,10,12,52,40,12,46.75,36.06,10.69
2020/21,Ligue 1,7,Lens,57,38,15,12,11,55,54,1,56.36,46.41,9.95
2020/21,Ligue 1,8,Montpellier,54,38,14,12,12,60,62,-2,52.27,67.22,-14.95
2020/21,Ligue 1,9,Nice,52,38,15,7,16,50,53,-3,46.37,56.18,-9.82
2020/21,Ligue 1,10,Metz,47,38,12,11,15,44,48,-4,42.26,48.4,-6.14
2020/21,Ligue 1,11,Saint-Etienne,46,38,12,10,16,42,54,-12,47.28,49.15,-1.87
2020/21,Ligue 1,12,Bordeaux,45,38,13,6,19,42,56,-14,43.55,54.87,-11.32
2020/21,Ligue 1,13,Angers,44,38,12,8,18,40,58,-18,39.92,52.81,-12.9
2020/21,Ligue 1,14,Reims,42,38,9,15,14,42,50,-8,33.23,61.79,-28.56
2020/21,Ligue 1,15,Strasbourg,42,38,11,9,18,49,58,-9,52.78,50.22,2.56
2020/21,Ligue 1,16,Lorient,42,38,11,9,18,50,68,-18,48.15,52.48,-4.32
2020/21,Ligue 1,17,Brest,41,38,11,8,19,50,66,-16,45.77,58.02,-12.24
2020/21,Ligue 1,18,Nantes,40,38,9,13,16,47,55,-8,48.27,54.89,-6.62
2020/21,Ligue 1,19,Nimes,35,38,9,8,21,40,71,-31,41.39,64.17,-22.78
2020/21,Ligue 1,20,Dijon,21,38,4,9,25,25,73,-48,31.85,76.12,-44.27
2021/22,Ligue 1,1,Paris Saint Germain,86,38,26,8,4,90,36,54,82.34,38.0,44.33
2021/22,Ligue 1,2,Marseille,71,38,21,8,9,63,38,25,59.87,42.79,17.08
2021/22,Ligue 1,3,Monaco,69,38,20,9,9,65,40,25,63.58,42.51,21.07
2021/22,Ligue 1,4,Nice,67,38,20,7,11,52,36,16,59.6,44.95,14.65
2021/22,Ligue 1,5,Rennes,66,38,20,6,12,82,40,42,68.24,43.77,24.47
2021/22,Ligue 1,6,Strasbourg,63,38,17,12,9,60,43,17,61.2,44.68,16.52
2021/22,Ligue 1,7,Lyon,62,38,17,11,10,66,51,15,73.32,54.69,18.63
2021/22,Ligue 1,8,Lens,62,38,17,11,10,62,48,14,52.24,43.7,8.54
2021/22,Ligue 1,9,Nantes,55,38,15,10,13,55,48,7,45.77,53.53,-7.76
2021/22,Ligue 1,10,Lille,55,38,14,13,11,48,48,0,56.39,36.97,19.42
2021/22,Ligue 1,11,Brest,48,38,13,9,16,49,57,-8,44.85,60.57,-15.72
2021/22,Ligue 1,12,Reims,46,38,11,13,14,43,44,-1,40.01,47.79,-7.79
2021/22,Ligue 1,13,Montpellier,43,38,12,7,19,49,61,-12,42.47,57.5,-15.04
2021/22,Ligue 1,14,Angers,41,38,10,11,17,44,55,-11,45.21,51.69,-6.48
2021/22,Ligue 1,15,Troyes,38,38,9,11,18,37,53,-16,39.66,52.99,-13.33
2021/22,Ligue 1,16,Lorient,36,38,8,12,18,35,63,-28,39.32,54.5,-15.18
2021/22,Ligue 1,17,Clermont Foot,36,38,9,9,20,38,69,-31,42.07,55.85,-13.78
2021/22,Ligue 1,18,Saint-Etienne,32,38,7,11,20,42,77,-35,40.18,64.76,-24.58
2021/22,Ligue 1,19,Metz,31,38,6,13,19,35,69,-34,30.15,71.65,-41.5
2021/22,Ligue 1,20,Bordeaux,31,38,6,13,19,52,91,-39,46.28,69.82,-23.54
2022/23,Ligue 1,1,Paris Saint Germain,85,38,27,4,7,89,40,49,86.15,47.11,39.04
2022/23,Ligue 1,2,Lens,84,38,25,9,4,68,29,39,69.93,44.56,25.37
2022/23,Ligue 1,3,Marseille,73,38,22,7,9,67,40,27,72.94,45.3,27.64
2022/23,Ligue 1,4,Rennes,68,38,21,5,12,69,39,30,64.24,43.14,21.1
2022/23,Ligue 1,5,Lille,67,38,19,10,9,65,44,21,74.23,42.0,32.23
2022/23,Ligue 1,6,Monaco,65,38,19,8,11,70,58,12,65.36,56.14,9.22
2022/23,Ligue 1,7,Lyon,62,38,18,8,12,65,47,18,69.79,50.74,19.04
2022/23,Ligue 1,8,Clermont Foot,59,38,17,8,13,45,49,-4,49.65,59.44,-9.79
2022/23,Ligue 1,9,Nice,58,38,15,13,10,48,37,11,59.22,44.16,15.07
2022/23,Ligue 1,10,Lorient,55,38,15,10,13,52,53,-1,47.35,60.97,-13.63
2022/23,Ligue 1,11,Reims,51,38,12,15,11,45,45,0,59.52,54.97,4.56
2022/23,Ligue 1,12,Montpellier,50,38,15,5,18,65,62,3,52.56,67.25,-14.7
2022/23,Ligue 1,13,Toulouse,48,38,13,9,16,51,57,-6,59.77,59.33,0.44
2022/23,Ligue 1,14,Brest,44,38,11,11,16,44,54,-10,41.4,58.09,-16.69
2022/23,Ligue 1,15,Strasbourg,40,38,9,13,16,51,59,-8,52.79,55.93,-3.14
2022/23,Ligue 1,16,Nantes,36,38,7,15,16,37,55,-18,44.62,58.41,-13.78
2022/23,Ligue 1,17,Auxerre,35,38,8,11,19,35,63,-28,40.21,65.01,-24.79
2022/23,Ligue 1,18,Ajaccio,26,38,7,5,26,23,74,-51,31.06,56.13,-25.07
2022/23,Ligue 1,19,Troyes,24,38,4,12,22,45,81,-36,36.71,83.79,-47.08
2022/23,Ligue 1,20,Angers,18,38,4,6,28,33,81,-48,41.04,66.07,-25.03
